user_id,Gender,Age,SES,Country,CRA_mean,HCRU_mean,DS_sum,LS_mean
90275,F,25,5,UK,6,5.166666666666667,4,3
90279,NA,27,7,UK,3.875,4.166666666666667,7,3.75
90284,M,28,11,UK,5.5,5.833333333333333,1,3.5
90286,F,33,11,UK,6,6.333333333333333,1,1.75
90289,M,27,7,UK,3.375,3.8333333333333335,5,2.75
90293,F,54,3,UK,4.875,5,9,3.5
90294,F,33,2,UK,4.75,4.166666666666667,11,4
90297,F,35,9,UK,3.75,4.5,3,2.5
90301,M,24,8,UK,2.5,3,7,3
90303,M,23,5,UK,2.625,3.5,1,4.25
90309,F,32,2,Malaysia,4.625,5.166666666666667,1,2.75
90311,F,58,5,UK,4.25,5.333333333333333,5,3
90314,F,28,10,UK,5.125,5.166666666666667,3,1.75
90337,F,30,2,Malaysia,6,6.166666666666667,4,2.25
90338,F,29,3,Malaysia,5.625,5,3,3.75
90342,M,28,4,Malaysia,6.25,6.5,4,2.25
90343,M,26,2,Malaysia,5.75,6,0,3.25
90347,F,34,3,Malaysia,7,7,0,3.5
90348,F,30,4,Malaysia,4.125,4,8,3.5
90349,M,25,2,Malaysia,5,6.166666666666667,5,4
90351,M,27,3,Malaysia,4.25,4.333333333333333,1,2.25
90352,F,31,3,Malaysia,6.5,7,1,3
90353,F,29,2,Malaysia,4,4.333333333333333,4,2.5
90356,F,28,1,Malaysia,3.875,4.5,7,3
90357,F,31,3,Malaysia,5.375,6,3,3
90358,F,32,2,Malaysia,4.25,4.5,4,3
90363,F,32,3,Malaysia,5.75,7,6,3
90371,F,31,1,Malaysia,2.5,5.833333333333333,10,3
90372,F,41,5,Malaysia,4.5,4.166666666666667,7,3.25
90373,F,42,3,Malaysia,5.625,6,5,2.75
90374,F,28,1,Malaysia,5,5,7,2.25
90387,F,55,2,UK,5.625,6,3,3.5
90393,F,33,5,Malaysia,5,5,1,2
90398,F,33,3,Malaysia,4.875,5.833333333333333,3,3
90401,F,32,1,Malaysia,5.25,5,1,3.25
90403,F,32,2,Malaysia,4.375,6,1,3
90404,F,32,1,Malaysia,4.75,7,0,4
90405,F,32,1,Malaysia,4.75,5.666666666666667,1,3.25
90406,F,37,6,Malaysia,3.125,2.3333333333333335,4,3.5
90407,F,32,3,Malaysia,6.5,6.833333333333333,0,2
90414,F,34,6,Malaysia,5.625,6,2,3
90415,F,30,2,Malaysia,3.875,4,6,3.25
90503,F,34,3,Malaysia,7,6.5,6,3
90603,F,31,2,Malaysia,5.125,6,4,2.25
90628,M,26,10,UK,3.125,2.3333333333333335,7,3.75
90693,F,28,4,UK,3.625,4.833333333333333,4,2.5
90863,M,24,1,Malaysia,5.625,5.5,3,3.25
90864,F,28,7,Malaysia,5,5,9,4.25
90867,F,32,5,Malaysia,5.125,5.5,1,2.75
90889,M,32,2,Malaysia,6,5.666666666666667,0,3.25
90903,F,22,2,UK,2.75,3.8333333333333335,13,4.5
91043,M,30,1,Malaysia,4.25,4.333333333333333,7,2.75
91088,F,59,6,UK,7,6.833333333333333,10,4
91107,M,31,4,Malaysia,3,3,0,2
91133,M,28,1,Malaysia,4.5,4,2,2.5
91253,F,39,2,Malaysia,6.25,6.333333333333333,1,2.5
91293,F,38,3,Malaysia,6.5,6.5,1,1.75
91296,F,32,5,Malaysia,3.125,3,2,2
91297,F,30,2,Malaysia,4.375,5.333333333333333,1,2.25
91432,F,34,2,Malaysia,6.375,6.333333333333333,11,2.25
