Condition,Age,Gender,Education,Language,Eng_Prof,TV_Time,TS1,TS2,TS3,TS4,TS5,TS6,TS7,TS8,TS9,TS10,TS11,TS12,TS13,TS14,TS15,TS16,TS17,TS18,TS19,TS20,TS21,DV1_1,DV1_2,DV1_3,DV1_4,DV1_5,DV2_1,DV2_2,DV2_3,DV2_4,DV2_5,FR1,FR2,FR3,FR4,FR5,FR6,FR7,FR8,FR9,FR10,FR_SUM,DV1_SUM,DV2_SUM,Manip_Ch,Stat_Ch
0,65,1,4,1,,1.5,2,3,2,3,4,1,4,2,3,4,4,3,4,4,4,4,3,4,2,4,5,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,8,3,0,1,1
1,64,1,4,1,,28,5,4,5,4,4,4,5,5,5,5,4,5,4,4,5,4,5,3,4,5,5,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,8,0,2,1,1
1,60,2,2,1,,3,5,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,7,1,2,1,1
0,40,2,5,1,,2,5,4,5,5,3,4,3,3,3,3,3,4,5,5,5,5,3,4,3,4,5,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,8,0,0,1,1
0,41,2,4,1,1,2,4,3,4,4,2,2,3,2,3,3,3,3,4,4,4,4,2,2,2,3,3,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,8,1,0,1,0
1,58,1,4,1,2,1,5,3,5,3,3,3,4,4,4,3,3,3,4,2,4,4,4,4,4,4,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,7,1,0,1,0
0,30,2,5,1,1,2,5,4,4,5,4,5,4,2,5,5,4,4,3,4,5,5,4,4,4,4,5,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,7,3,1,1,1
1,24,1,5,1,,1,4,4,5,3,4,4,4,2,2,3,3,4,4,3,4,4,4,3,4,4,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,10,0,0,0,1
0,64,1,1,1,,0.5,3,2,2,2,2,2,4,2,3,4,4,3,2,4,4,4,4,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,4,0,0,1,0
0,45,2,5,1,,1,4,3,4,3,2,3,5,3,4,4,4,4,4,4,5,5,4,4,4,4,5,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,8,3,0,1,1
1,66,2,4,1,,3,4,4,5,3,4,4,4,3,4,4,4,4,4,4,5,5,4,4,4,3,5,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,8,0,2,1,1
1,40,2,5,1,,2,5,5,5,5,5,5,5,4,4,5,3,4,3,5,4,4,5,5,4,4,5,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,9,2,1,1,1
0,46,2,4,1,,2,4,4,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,5,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,5,2,0,1,0
1,33,1,4,1,,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,9,0,2,1,1
0,69,2,2,1,,4,2,2,3,2,2,3,4,2,4,4,4,3,3,4,3,2,2,2,2,4,4,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,7,1,0,1,0
1,25,2,4,1,,1.5,3,2,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,9,0,2,0,1
1,25,2,5,1,,2,5,4,5,3,3,4,3,4,3,3,3,4,5,4,3,3,3,4,5,3,5,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,9,0,2,0,1
0,64,1,4,1,,3,2,2,3,3,2,3,3,2,3,5,5,4,3,2,4,3,3,2,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,6,1,0,1,1
1,17,2,2,1,,2,4,4,5,5,3,4,3,3,4,4,3,4,5,4,4,4,4,3,4,3,3,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,8,1,1,1,0
0,28,2,4,1,1,8,5,3,5,3,2,3,4,3,3,2,2,3,4,4,4,3,2,4,2,3,5,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1
1,70,2,5,1,1,3,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,3,4,4,4,5,4,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,9,1,0,1,1
0,57,2,5,1,,0.5,5,4,3,3,3,4,3,4,3,4,4,3,4,3,3,3,3,4,4,4,4,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,8,0,1,1,1
0,71,1,5,1,,3,5,4,5,5,2,5,4,4,4,4,3,3,4,5,5,4,4,5,4,4,5,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,6,0,1,0,1
1,56,1,5,1,,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,3,4,4,4,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,3,0,2,0,1
1,34,1,5,1,,0,2,5,4,4,4,5,4,5,4,4,4,4,5,5,4,4,5,5,4,4,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,6,0,1,1,1
0,54,1,5,1,1,1,5,2,4,4,2,4,4,2,4,4,4,4,2,4,4,4,3,3,4,4,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,4,1,0,1,1
0,54,2,5,1,1,2,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,7,2,0,1,1
1,68,1,4,1,,3,5,5,5,5,3,4,3,2,4,4,3,4,2,4,2,3,3,2,4,5,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,6,0,1,1,1
1,80,2,2,1,,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,5,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,8,0,0,0,0
0,32,2,4,1,,2,2,3,5,4,3,4,5,4,4,4,3,3,2,3,4,4,4,4,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,8,0,0,1,1
0,63,2,4,1,,1,4,3,4,4,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,8,0,0,1,1
1,62,1,3,1,,2,3,2,4,3,3,3,4,2,3,4,4,3,2,4,4,4,3,4,2,4,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,7,0,0,1,0
0,60,2,5,1,,1,3,4,4,4,3,3,3,2,3,2,2,4,4,4,4,4,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,8,0,0,1,1
1,29,1,4,1,,8,5,4,5,5,4,4,4,5,5,4,4,3,5,4,4,5,4,5,4,5,5,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,9,0,2,0,1
1,28,2,4,1,,2,4,4,5,5,4,4,3,4,3,3,2,3,4,4,4,4,4,4,4,5,4,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,8,0,3,1,1
0,52,2,4,1,,2,4,4,5,5,3,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,5,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,6,4,0,1,1
0,64,1,4,1,,3,5,4,4,4,4,4,1,3,3,3,3,3,4,4,3,4,4,3,4,4,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,5,1,0,1,1
1,58,1,4,1,,3,4,4,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,8,1,1,1,1
1,62,2,3,1,,3,3,2,4,4,3,4,2,3,2,4,5,2,4,3,4,4,3,4,4,4,4,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,10,1,0,1,1
0,31,2,4,1,,1.5,3,4,4,5,4,4,5,2,4,4,4,4,4,4,4,4,4,4,2,4,4,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,9,3,0,0,0
0,34,1,5,1,,2,2,4,3,4,4,4,5,4,5,5,4,4,4,4,4,4,4,5,4,4,4,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,8,2,0,1,0
0,63,1,6,1,,3,5,4,5,3,4,5,4,3,4,4,4,4,4,4,4,3,5,5,5,4,4,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,9,1,0,1,1
1,24,2,4,1,,3,4,5,4,3,4,4,4,4,4,4,4,4,5,4,3,3,5,4,4,4,5,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,10,0,2,0,1
1,25,2,5,1,,0.5,4,2,4,4,2,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,5,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,8,1,1,1,1
0,25,2,5,1,,1,4,4,4,4,3,3,4,3,4,4,4,3,4,3,4,4,4,3,4,4,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,7,1,0,1,0
1,24,2,5,1,,1,2,2,4,2,2,4,4,2,4,4,4,3,2,4,4,4,4,4,2,2,4,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,9,0,1,1,1
0,37,2,4,2,1,7,3,3,4,3,3,2,4,2,3,4,4,3,3,4,2,4,3,3,2,3,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,4,0,0,1,0
1,62,2,4,1,,3,5,4,5,4,3,4,4,3,3,4,4,3,4,2,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,9,0,0,0,1
0,,2,4,1,,3,4,3,3,3,2,3,3,2,3,3,3,3,4,3,4,3,3,4,3,3,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,4,3,0,1,0
1,62,2,3,1,,1,5,5,5,5,2,4,4,4,4,4,4,3,4,2,4,4,4,4,4,4,4,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,8,1,2,1,1
0,27,1,4,1,,2,4,4,5,3,2,4,4,4,4,2,2,3,4,4,3,3,4,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,5,0,0,1,1
1,67,1,4,1,1,1,4,4,4,4,3,4,4,4,4,4,2,2,2,4,2,3,4,4,4,4,4,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,10,2,2,1,1
0,49,2,4,1,,32,2,4,2,1,4,4,4,3,4,4,5,5,5,3,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,6,0,0,1,0
0,57,2,3,1,,3,3,4,4,4,4,4,4,2,4,4,4,4,3,4,4,4,4,4,3,4,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,7,1,0,1,0
1,51,2,4,1,,1,2,2,3,3,3,3,4,2,3,4,4,3,4,3,4,4,3,3,3,3,4,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,7,4,0,0,0
1,26,1,4,1,1,0,4,4,5,2,4,4,5,2,4,4,2,5,5,4,5,5,4,4,5,3,5,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,5,1,2,0,1
0,25,2,6,1,,10,5,5,5,5,4,4,4,3,5,4,3,3,5,5,3,4,4,5,5,4,5,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,8,1,0,1,1
1,62,1,4,1,,1,3,5,5,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,7,1,1,0,1
0,26,1,4,1,,3.5,4,3,4,2,3,4,5,1,4,4,3,4,4,4,5,5,3,4,4,3,5,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,10,2,0,1,1
0,26,2,4,1,,3,1,5,2,4,3,5,5,2,2,5,5,4,5,2,1,4,2,3,3,5,4,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,8,2,0,1,1
1,60,1,4,1,,2,4,4,4,4,4,3,3,3,3,4,4,3,4,4,4,4,4,5,5,4,5,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,10,1,0,1,1
0,26,2,5,1,,1,3,2,5,5,3,4,3,1,5,4,2,4,4,4,5,5,5,5,5,5,5,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,7,3,0,1,1
1,60,2,4,1,1,1.5,4,3,4,4,4,3,4,4,4,4,4,3,4,5,4,4,4,4,4,3,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0
1,24,2,4,1,,0.5,4,3,5,4,2,4,4,4,2,4,3,3,4,4,3,3,3,3,3,4,4,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,9,1,1,0,1
0,26,1,4,1,2,7,5,3,5,5,4,5,5,2,5,5,5,5,5,5,5,5,3,4,4,5,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,5,1,0,1,1
0,29,1,2,1,,2,3,3,5,2,2,3,3,2,3,3,2,3,2,5,4,4,4,2,2,3,4,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,7,2,0,1,0
1,69,1,4,1,,3,4,3,5,2,4,5,4,3,4,4,4,4,4,4,4,5,4,4,4,3,5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,7,0,0,0,1
1,25,2,4,1,,3,5,4,4,3,3,4,3,3,3,3,4,3,3,4,4,3,2,4,3,3,4,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,8,0,2,1,0
0,34,1,4,1,,12,4,4,4,3,4,3,5,4,4,4,3,4,4,4,5,5,4,4,4,4,5,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,7,0,1,1,0
1,26,2,4,1,,1,5,5,5,5,4,5,5,2,5,4,5,5,3,5,5,5,5,4,5,4,5,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,8,2,2,0,1
0,52,2,5,1,,2.5,4,3,3,5,2,2,4,3,4,3,3,3,3,4,4,4,3,3,2,2,4,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,9,3,1,1,0
1,45,2,6,1,,0.3,4,2,5,4,3,4,4,3,4,4,4,3,4,3,2,4,4,4,4,4,4,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,10,1,2,1,1
1,52,2,4,1,,1,4,4,4,3,2,4,3,2,3,3,3,3,3,4,2,2,2,3,3,2,3,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,7,0,2,0,0
0,61,2,5,1,,1,4,4,4,4,4,4,3,3,4,4,4,3,2,5,4,4,4,3,4,3,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,7,0,1,0,1
1,22,2,4,1,,3,4,5,5,3,3,4,5,4,4,4,4,3,5,4,4,3,4,3,4,4,5,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,8,3,2,0,1
0,25,2,5,1,,1.5,3,4,4,3,4,4,4,4,5,4,2,4,2,4,4,4,4,2,4,2,4,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,8,2,0,1,1
0,30,1,4,1,1,2,4,3,3,4,4,4,4,1,4,4,3,3,2,4,3,4,4,3,4,3,3,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,8,3,0,1,1
1,48,2,4,1,,6,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,9,2,0,1,1
0,43,2,4,1,,3,4,3,4,4,3,4,3,3,2,3,4,3,4,4,2,2,4,4,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,0,0
0,31,1,3,1,,3,4,2,3,3,4,4,2,4,4,4,2,4,4,5,4,4,4,4,4,4,5,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,9,3,0,1,0
0,55,1,4,1,,2,2,2,3,1,1,4,3,2,1,2,3,2,5,3,4,2,4,4,3,2,3,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,9,2,0,1,1
1,53,1,4,1,,3,1,4,4,3,3,4,4,2,5,5,5,4,2,5,2,1,4,4,3,2,4,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,9,0,1,0,0
0,58,2,3,1,,1,4,4,4,3,3,4,5,4,4,4,4,4,5,4,4,4,4,3,4,4,2,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,9,2,0,1,0
0,64,1,5,1,,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3,5,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,9,1,1,1,1
1,17,1,3,1,1,6,4,3,4,4,4,4,4,3,4,4,4,4,4,5,4,4,4,3,4,4,4,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,5,0,2,0,1
0,34,2,4,1,,2,5,3,4,4,2,4,4,3,3,3,2,2,4,2,2,3,4,4,4,4,4,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,5,3,0,1,0
1,64,2,2,1,,5,3,3,3,3,3,3,4,3,4,4,4,3,3,4,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,9,0,0,0,0
1,25,2,4,1,,0.5,3,3,3,3,2,4,4,3,4,4,4,2,2,4,4,4,3,3,3,4,4,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,9,0,1,1,1
0,26,2,6,1,1,1,4,3,4,4,4,4,4,3,2,4,4,3,4,4,4,4,4,3,4,2,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,6,0,0,1,1
1,54,2,3,1,,1.5,4,4,4,4,4,4,5,4,4,4,4,3,4,2,4,5,4,4,4,5,4,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,7,1,0,0,0
0,75,2,4,1,,4,3,4,4,4,3,5,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,10,3,0,1,0
0,58,1,3,1,,2,3,2,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,8,1,1,1,1
1,34,2,5,1,,0,4,3,4,3,3,4,4,2,4,4,3,4,3,4,4,4,4,3,3,4,4,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,9,0,1,0,1
1,24,1,3,1,2,2,5,4,5,5,4,4,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,10,1,2,0,1
0,63,2,4,1,,3,4,2,4,3,3,4,4,2,3,2,2,2,5,4,4,5,3,4,4,4,5,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,10,3,0,1,1
1,59,2,4,1,,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,7,1,0,0,0
1,26,1,4,1,,2,2,4,4,4,2,3,4,2,4,4,2,4,4,4,4,4,3,2,2,2,4,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,6,2,1,0,0
1,26,1,4,1,1,1,1,4,2,2,2,3,2,2,3,3,2,4,4,4,2,2,2,1,2,2,4,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,7,2,1,1,1
0,28,2,4,1,,4,5,3,4,4,4,4,4,2,4,4,2,2,4,4,4,4,3,4,4,2,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,6,1,0,1,0
0,25,1,4,1,1,0,2,4,4,4,2,4,3,3,3,4,4,4,5,4,4,4,3,4,3,4,4,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,7,2,2,1,1
